FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID2,NAME,LSAD,ALAND,AWATER,SHAPE_Length,SHAPE_Area
1,42,3,50900,1400000US42003050900,42003050900,509,CT,452643,4114,0.045047814,4.62E-05
2,42,3,70300,1400000US42003070300,42003070300,703,CT,428546,0,0.028484179,4.55E-05
3,42,3,120700,1400000US42003120700,42003120700,1207,CT,514927,0,0.031371756,5.46E-05
4,42,3,140400,1400000US42003140400,42003140400,1404,CT,834995,0,0.038374172,8.89E-05
5,42,3,180700,1400000US42003180700,42003180700,1807,CT,393380,0,0.026141811,4.21E-05
6,42,3,220600,1400000US42003220600,42003220600,2206,CT,430172,0,0.041663875,4.69E-05
7,42,3,270100,1400000US42003270100,42003270100,2701,CT,1039795,131921,0.048324938,0.000124919
8,42,3,281400,1400000US42003281400,42003281400,2814,CT,1328964,0,0.051212669,0.000140334
9,42,3,310300,1400000US42003310300,42003310300,3103,CT,2046497,0,0.069525138,0.000220502
10,42,3,408002,1400000US42003408002,42003408002,4080.02,CT,11667028,0,0.186282154,0.001244283
11,42,3,423000,1400000US42003423000,42003423000,4230,CT,907019,88873,0.050279135,0.000105192
12,42,3,429201,1400000US42003429201,42003429201,4292.01,CT,4690076,0,0.101509605,0.000497516
13,42,3,447000,1400000US42003447000,42003447000,4470,CT,3888768,0,0.091792435,0.000417564
14,42,3,457200,1400000US42003457200,42003457200,4572,CT,1896849,0,0.073573726,0.000202155
15,42,3,468900,1400000US42003468900,42003468900,4689,CT,1691926,0,0.055962343,0.000180207
16,42,3,475101,1400000US42003475101,42003475101,4751.01,CT,3134653,0,0.083539536,0.000331455
17,42,3,478100,1400000US42003478100,42003478100,4781,CT,1513315,0,0.058325071,0.000160133
18,42,3,486700,1400000US42003486700,42003486700,4867,CT,2492428,248729,0.072294145,0.000290151
19,42,3,490004,1400000US42003490004,42003490004,4900.04,CT,8040949,0,0.134127505,0.000858495
20,42,3,494000,1400000US42003494000,42003494000,4940,CT,886861,186785,0.051528859,0.000111991
21,42,3,499300,1400000US42003499300,42003499300,4993,CT,2059493,324290,0.102499636,0.000251716
22,42,3,499400,1400000US42003499400,42003499400,4994,CT,2036886,206323,0.079206238,0.000238067
23,42,3,514000,1400000US42003514000,42003514000,5140,CT,1131840,172230,0.048146915,0.000140939
24,42,3,523400,1400000US42003523400,42003523400,5234,CT,3254207,0,0.073360502,0.000346069
25,42,3,552200,1400000US42003552200,42003552200,5522,CT,804397,235833,0.044993448,0.00010944
26,42,3,560400,1400000US42003560400,42003560400,5604,CT,511112,0,0.032951849,5.41E-05
27,42,3,980000,1400000US42003980000,42003980000,9800,CT,637327,237263,0.047603774,9.26E-05
28,42,3,980300,1400000US42003980300,42003980300,9803,CT,1294126,0,0.055434331,0.000136601
29,42,3,20300,1400000US42003020300,42003020300,203,CT,1594790,326537,0.077032176,0.000203588
30,42,3,40600,1400000US42003040600,42003040600,406,CT,253062,0,0.024322615,2.61E-05
31,42,3,80600,1400000US42003080600,42003080600,806,CT,404921,0,0.027237511,4.29E-05
32,42,3,90300,1400000US42003090300,42003090300,903,CT,256777,0,0.024940337,2.66E-05
33,42,3,110200,1400000US42003110200,42003110200,1102,CT,815006,0,0.03822897,8.73E-05
34,42,3,120400,1400000US42003120400,42003120400,1204,CT,437417,0,0.030132043,4.78E-05
35,42,3,140200,1400000US42003140200,42003140200,1402,CT,759492,0,0.044417948,8.08E-05
36,42,3,140800,1400000US42003140800,42003140800,1408,CT,1089074,0,0.058902441,0.000115701
37,42,3,170200,1400000US42003170200,42003170200,1702,CT,1120492,259388,0.061900104,0.000146795
38,42,3,191800,1400000US42003191800,42003191800,1918,CT,1453327,0,0.070108195,0.000150392
39,42,3,250300,1400000US42003250300,42003250300,2503,CT,242446,0,0.022769482,2.53E-05
40,42,3,401300,1400000US42003401300,42003401300,4013,CT,3338659,0,0.0932814,0.000354996
41,42,3,409000,1400000US42003409000,42003409000,4090,CT,43934370,33866,0.275284122,0.004672319
42,42,3,413300,1400000US42003413300,42003413300,4133,CT,5744580,0,0.138892453,0.00061122
43,42,3,417200,1400000US42003417200,42003417200,4172,CT,1319446,415229,0.071065554,0.000184366
44,42,3,426800,1400000US42003426800,42003426800,4268,CT,5178198,0,0.092836948,0.00055522
45,42,3,429400,1400000US42003429400,42003429400,4294,CT,3558361,0,0.099476064,0.000381303
46,42,3,431100,1400000US42003431100,42003431100,4311,CT,924161,0,0.039532185,9.70E-05
47,42,3,446000,1400000US42003446000,42003446000,4460,CT,3875479,465048,0.088247817,0.000462543
