GEOID2,asian_pop,black_pop,female_pop,hispanic_pop,islander_pop,male_pop,non_white_pop,median_age,median_home_value,median_income,multi_race_pop,native_pop,other_pop,pop_in_owner_units,pop_in_renter_units,pop_in_units,total_pop,white_pop,all_poverty_pct,family_poverty_pct,male_employment_rate,over_25_bachelors,over_25_pop,single_female_hh,single_male_hh,total_households,pct_single_female_hh,pct_single_male_hh,pct_bachelors,z_pov,z_single_fem,z_male_unemp,z_bachelors,disadvantage_index,zscore_disadvantage,cbsa_income,cbsa_home_value,pct_cbsa_income,pct_cbsa_value,year
42003010300,229,1948,2842,254,0,3810,40.99518942,21.8,137500,23603,338,28,21,90,569,659,6652,3925,40.2,35.7,11,269,2383,92,17,322,0.285714286,0.052795031,0.112882921,1.811481962,1.811035721,4.845412908,1.421426294,0.616207841,2.472339221,60535,154000,0.389906666,0.892857143,2019
42003020100,527,472,2943,272,0,2547,25.61020036,29.7,344400,77759,148,23,0,927,3366,4293,5490,4084,17.1,11.3,77,2311,2971,101,61,2714,0.037214444,0.02247605,0.777852575,0.171870245,-0.918738781,0.133900006,-1.606812099,0.165090467,-0.554945157,60535,154000,1.284529611,2.236363636,2019
42003020300,121,23,562,36,0,650,16.17161716,31.7,486000,106313,18,0,0,134,1060,1194,1212,1016,4.9,3,94.6,922,1053,13,0,821,0.015834348,0,0.875593542,-0.694071874,-1.153599449,-1.122503434,-2.051919553,0.060810202,-1.255523578,60535,154000,1.756223672,3.155844156,2019
42003030500,40,1628,1078,162,0,1031,86.628734,40.4,139200,19243,145,2,0,504,1509,2013,2109,282,39.8,28.2,42.4,198,1048,349,34,1145,0.304803493,0.029694323,0.188931298,1.783090417,2.020730955,2.603874952,1.075105806,0.522468049,1.870700532,60535,154000,0.317882217,0.903896104,2019
42003040200,168,540,1051,56,0,525,50.8248731,23.5,98800,18500,23,0,30,390,777,1167,1576,775,48.6,21.8,56.7,250,553,70,30,600,0.116666667,0.05,0.452079566,2.407704405,-0.045954917,1.583047156,-0.123258185,0.395896775,0.955384615,60535,154000,0.305608326,0.641558442,2019
42003040400,457,190,1090,9,0,781,36.23730625,32.5,137500,33934,22,0,0,1058,742,1800,1871,1193,34.9,4.7,60.7,483,545,11,8,1181,0.009314141,0.00677392,0.886238532,1.435293992,-1.22522403,1.29750092,-2.100396302,0.216268902,-0.148206355,60535,154000,0.560568266,0.892857143,2019
42003040500,219,83,1760,79,0,1495,14.40860215,21.5,137500,14702,62,10,30,270,2481,2751,3255,2786,75.7,11.6,50.3,95,318,22,10,1134,0.019400353,0.008818342,0.298742138,4.331231571,-1.114426838,2.039921135,0.575032755,0.493664554,1.457939656,60535,154000,0.242867762,0.892857143,2019
42003040600,122,107,986,52,0,1226,16.22965642,21.6,117900,18295,100,0,0,159,2053,2212,2212,1853,64.1,21,53.4,195,345,12,32,960,0.0125,0.033333333,0.565217391,3.507876769,-1.190227316,1.818622801,-0.638482157,0.388570652,0.874447524,60535,154000,0.302221855,0.765584416,2019
42003040900,194,554,1566,142,0,2011,31.22728543,22.5,170000,22648,217,10,67,779,2699,3478,3577,2460,57.6,35.4,55,569,1119,117,38,1507,0.077637691,0.02521566,0.508489723,3.046514165,-0.474688804,1.704404307,-0.380147206,0.398786992,0.974020616,60535,154000,0.374130668,1.103896104,2019
42003050100,17,1468,1049,1,0,696,87.10601719,44.5,86200,25079,35,0,0,549,1164,1713,1745,225,35.3,35.7,72.3,98,864,258,65,934,0.276231263,0.069593148,0.113425926,1.463685537,1.706864578,0.469416834,1.418953475,0.448201334,1.264730106,60535,154000,0.414289254,0.55974026,2019
42003050600,131,1619,1189,0,0,956,83.77622378,43.6,87800,52586,47,0,0,1453,671,2124,2145,348,16.4,11.6,56.1,315,1019,294,8,832,0.353365385,0.009615385,0.309126595,0.122185041,2.554184059,1.625879092,0.527742463,0.411809697,1.207497664,60535,154000,0.868687536,0.57012987,2019
